price,min_to_metro,region_of_moscow,total_area,living_area,floor,number_of_floors,construction_year,is_new,is_apartments,ceiling_height,number_of_rooms,link
14900000.0,19.0,NEAR,63.7,,13.0,25.0,2024.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/299247819/
29976267.0,11.0,NEAR,58.9,,22.0,22.0,2024.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/297261569/
41320668.0,25.0,SAR,73.2,46.2,11.0,14.0,2023.0,1.0,0.0,3.15,2.0,https://www.cian.ru/sale/flat/293204283/
31122705.0,19.0,SAR,63.3,,8.0,8.0,2024.0,1.0,0.0,2.97,2.0,https://www.cian.ru/sale/flat/298310713/
57600000.0,,WAR,68.4,25.9,14.0,14.0,2023.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/299262052/
111060882.0,8.0,CAR,112.9,,10.0,13.0,2013.0,1.0,1.0,3.15,2.0,https://www.cian.ru/sale/flat/297286575/
29143191.0,9.0,WAR,73.7,30.5,8.0,9.0,2023.0,1.0,0.0,2.74,2.0,https://www.cian.ru/sale/flat/289800706/
45340500.0,16.0,NWAR,90.5,,3.0,6.0,2023.0,1.0,1.0,3.24,2.0,https://www.cian.ru/sale/flat/299370728/
74935640.0,6.0,NWAR,79.6,36.2,8.0,9.0,2023.0,1.0,0.0,3.25,2.0,https://www.cian.ru/sale/flat/299261516/
33444818.0,22.0,SAR,71.71,31.2,6.0,29.0,2023.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/296831923/
24300000.0,18.0,WAR,47.8,36.8,5.0,41.0,2024.0,1.0,0.0,4.2,2.0,https://www.cian.ru/sale/flat/289060145/
40811432.0,4.0,CAR,83.0,47.3,10.0,10.0,2024.0,1.0,1.0,3.0,2.0,https://www.cian.ru/sale/flat/296548834/
16811680.0,5.0,WAR,58.7,,5.0,25.0,2021.0,1.0,0.0,2.63,2.0,https://www.cian.ru/sale/flat/299449776/
32354169.0,5.0,SWAR,70.3,,22.0,25.0,2024.0,1.0,0.0,3.17,2.0,https://www.cian.ru/sale/flat/294550013/
32107152.0,5.0,CAR,71.4,48.2,11.0,13.0,2022.0,1.0,1.0,3.4,2.0,https://www.cian.ru/sale/flat/286886807/
